product_name,hts_code,tariff_rate,origin_country,import_dependency,usitc_general,usitc_special,usitc_rate_type,usitc_parse_status,usitc_updated_at
All-Purpose Flour,1101.00.00,0.00,United States,Low,0.7¢/kg,"Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Almond Milk,2202.99.91,0.00,Canada,Medium,0.2¢/liter,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Apples,0808.10.00,0.00,United States,Low,Free,,duty_free,ok_free,2026-04-15T19:26:39.078676+00:00
Avocados,0804.40.00,0.00,Mexico,High,11.2¢/kg,"Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Bacon,0210.12.00,0.00,United States,Low,1.4¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Bananas,0803.90.00,0.00,Guatemala,High,Free,,duty_free,ok_free,2026-04-15T19:26:39.078676+00:00
Beef Steak,0201.30.02,4.00,United States,Low,4%,"Free (A+,AU,BH,CL,CO,D,E*, IL,JO,KR,MA,OM, P,PA, PE,S,SG)",ad_valorem,ok_ad_valorem,2026-04-15T19:26:39.078676+00:00
Bell Peppers,0709.60.40,0.00,Mexico,High,4.7¢/kg,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",specific,non_ad_valorem,2026-04-15T19:26:39.078676+00:00
Blueberries,0810.40.00,0.00,Peru,Medium,Free,,duty_free,ok_free,2026-04-15T19:26:39.078676+00:00
Broccoli,0704.10.20,2.50,Mexico,Medium,2.5%,"Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)",ad_valorem,ok_ad_valorem,2026-04-15T19:26:39.078676+00:00
